State,2010,Zone,AB
Alabama,46120,East south central states,AL
Alaska,65178,,AK
Arizona,52839,,AZ
Arkansas,43477,West south central states,AR
California,61162,,CA
Colorado,67866,,co
Connecticut,74361,,CT
D.C.,64142,,DC
Delaware,62211,South Atlantic States,DE
Florida,49650,South Atlantic States,FL
Georgia,49707,South Atlantic States,GA
Hawaii,67084,,HI
Idaho,53012,,ID
Illinois,57156,,IL
Indiana,51986,,IN
Iowa,55227,,IA
Kansas,51890,,KS
Kentucky,46313,East south central states,KY
Louisiana,44280,West south central states,LA
Maine,54005,,ME
Maryland,72336,South Atlantic States,MD
Massachusetts,68655,,MA
Michigan,52140,,Ml
Minnesota,58951,,MN
Mississippi,42996,East south central states,MS
Missouri,51623,,MO
Montana,46511,,MT
Nebraska,59157,,NE
Nevada,57688,,NV
New Hampshire,75077,,NH
New Jersey,70947,,NJ
New Mexico,50853,,NM
New York,56089,,NY
North Carolina,49384,South Atlantic States,NC
North Dakota,57469,,ND
Ohio,51701,,OH
Oklahoma,48565,West south central states,OK
Oregon,57014,,OR
Pennsylvania,54436,,PA
Rhode Island,58164,,RI
South Carolina,46982,South Atlantic States,sc
South Dakota,51099,,SD
Tennessee,43481,East south central states,TN
Texas,53255,West south central states,TX
United States,55520,,US
Utah,63886,,UT
Vermont,63015,,VT
Virginia,68017,South Atlantic States,VA
Washington,63280,,WA
West Virginia,48198,South Atlantic States,WV
Wisconsin,56731,,WI
Wyoming,58816,,WY
